id,platform,text,label_binary
H227,zhihu,你好棒棒呀 知道的真多你家那片还有井盖吗,1
H073,tieba,说明一下，我只关爱自己身边的女性，比如老婆女儿等，别的女人关我鸟事。v,1
H050,tieba,凭什么女的能扭男的就不行,0
H291,zhihu,还有好多东北人说《南方周末》是江浙的。东方卫视是广州的。实在是无力解释。[摊手],0
H168,xhs,而且Ai偷脸造谣诈骗大家的时候就完全，今天冤枉你偷李家鸡明天引导你妈骗走一辈子钱（都可以打着艺术创作和个性化服务的慌子,0
H153,xhs,不受法律约束的ai只是一个资本用来剥削普通人的利器，我不讨厌ai，但我必须抵制利用ai侵权的资本以及其产生的附带产品，为我自己，顺便也为他人。,0
H047,tieba,奴隶姐，你又来啦？,1
H059,tieba,圣母不会认识到自己坚持的观点有多么荒谬的。到时候圣母还是会指责我们不善待黑大爷，没有给黑大爷更多的权利以及超国民待遇才会导致它们闹分裂。,1
H319,wb,你不是说单是特别好的宝宝吗 左右脑互搏吗姐妹,0
H301,wb,和街边的中专妹一样，不过换了身衣服上台唱了点自己改编的自我感觉很好的糖比歌。能改出这种歌的家里得请高人了,1
H326,wb,是真的哈哈哈哈哈哈哈头一天粉丝还发帖吹总监制，现在出事了就是挂名,0
H206,zhihu,河南新疆回族人。。。。。。。。就真的没有一点办法了，，，3头不是人。。。哈哈哈哈哈,1
H009,tieba,此人品行恶劣，但一个人不能代表几十亿人。,0
H321,wb,我发现wb的250也很多耶,1
H280,zhihu,看了好几个，这是唯一一个比较中肯的，都什么年代了，人只要能承受后果，自己做选择，想找谁找谁,0
H003,tieba,lz你没看完原贴，原贴还说这女的有精神类疾病。判四个月，这会儿已经放出来继续祸害了,1
H288,zhihu,你们高兴就好.,0
H158,xhs,偷脸 偷设计 偷声带 偷心血 偷孩子（oc）就这样发展吗 那很有道德感了不觉得这所谓的风口很可怕吗 版权意识为负 这不是投喂ai 是侵占和窃取,0
H371,wb,哈哈哈哈哈 那我也想要,0
H178,xhs,这么有钱？,0
H213,zhihu,近代历史基本都是讲南方的，辛亥革命，清政府被推翻，两党建立，北伐军统一军阀。据我所知只有一个地方的人自卑的很，连张学良都能吹成“民族英雄”，毛和周当年最多就是看到张对党有贡献夸他一个民族英雄罢了。从人民角度来说，张在“江桥抗战”发了一个电报给马占山这个土匪自己带领的军队死守东北，自己却不支援。蒋张实属一丘之貉，一个民族罪人一个罪人,1
H298,zhihu,明 治 维 新,0
H032,tieba,没脑子容易被洗脑。美颜效果和视频把自己修图成美女，然后认为自己就是这么美想想就是什么货色,1
H247,zhihu,能出国的确实这样，知乎说的属于国内城乡结合部三本大学生,1
H267,zhihu,也可以说，大多数中国人祖先都是古河南人。,0
H349,wb,还要配备byt，各种型号花色都要有，方便哪个bro痒了套上踩几脚解解痒,1
H193,xhs,让它闹，有证据又怎么样？还能把你关进监狱里不成，你要在战略上蔑视他，对它不用那么讲客气，要啥证据啊。,1
H311,wb,笑吐了，送进去哈哈哈哈，先回去上学吧,1
H236,zhihu,哈哈，金庸的文字真是绝了。媚外女还不如丽春院的,1
H026,tieba,看了几天帖子，反同人士除了通篇常见的几句‘txl不正常’类似的话，具体措施，如何实施，实施所需占用的社会资源，实施成效等，都没看见你们有什么想法呢。饭桶就只是口头上的吗，让我很失望。,0
H074,tieba,应该多科普,1
H324,wb,给自己取的主页简介还挺到位的啊疯??,1
H082,tieba,中国用不了多久稳稳立于公交车行业中心，做公交车龙头企业，坚持做到一车多用，多车一用，废旧公交车循环再利用，做到每一辆车都充分利用，公交车行业必定立足于世界中心,0
H372,wb,这是艺术，哈哈哈哈哈,0
H138,xhs,香的博主，现在航天发展快，你可以拍外星交流片,0
H064,tieba,提议女方婚前支付五年个人收入做彩礼，不然女性不懂珍惜婚姻,1
H233,zhihu,黑灯瞎火又能做什么正经事??,1
H096,tieba,图灵还要什么争议？帮助祖国和世界战胜了法西斯，然后却被自己的祖国迫害，悲剧自杀，图灵是反同碰不得的,0
H360,wb,这是他魔改后的，原本范晓萱不是这样唱的，很有灵气,0
H125,xhs,可以的。可以演很多特型角色。,0
H187,xhs,支持维权，支持立法，无法容忍ai融人脸和融合别人的画，这叫强盗，不叫创作！,0
H037,tieba,男人就该尊重女性,0
H054,tieba,杀不尽的舔?,1
H391,wb,我看的林俊杰 周兴哲 邓紫棋的全都是拿身份证进的 只有23年看薛之谦那时候还会邮寄门票是我收的,0
H368,wb,那确实没你主子心平气和哈哈哈哈哈哈哈 查看2张图片,1
H146,xhs,就这还国家级演员 哈哈哈哈,0
H127,xhs,哥们你长这样上春晚啊，机器人的节目你都能当替身哈哈哈哈哈哈,1
H373,wb,华晨宇好像给那个电影里唱的片尾曲还挺好听的，整体啥样不清楚,0
H107,xhs,可以演真正的外星人 这种角色稀缺你肯定能考上,1
H342,wb,素质好低啊啊,1
H297,zhihu,的确，这个才是重点,0
H199,xhs,被人在评论区说嗦吧唧最狠了怎么回怼,0
H004,tieba,阿哲，好像陈浩民张卫健吴彦祖古天乐尹正他们的帅我挺欣赏的，至于现在的娘炮，对不起那些女拳拿这些娘炮当例子还说人家嫉妒，真是笑大牙了,1
H066,tieba,停下吧，快停一下吧，让智商回来。反同到底有什么意义？反同是因为什么？你们真的有想清楚吗？说什么啊，这是不孝，那是人家的家事，关你何事？说什么欺骗他人，欺骗他人的是个人，不是群体，搞清楚一点。到处网暴别人，我觉得主要原因就是因为你们现实生活过得不好，所以才要去网暴那些其他过得比你们更不好的人。,0
H260,zhihu,安徽人路过，感谢江苏兄弟为老家打CALL,0
H033,tieba,姆??老是先开团，真的可怜，没事就骂男性。,1
H341,wb,面相就让人恶心,1
H387,wb,哈哈哈哈哈哈哈草,0
H172,xhs,原来是偷的，再不管都得乱套,0
H366,wb,哈哈哈哈哈哈求求了谁来找个法师超度一下吧,1
H061,tieba,首先我们应该先搞清楚通讯录骗婚的目的。有很多通讯录宣传说同性恋骗婚都是被父母逼的。这根本是错误的。因为现在的经济制度下，社会结婚率每况愈下，都快成为社会问题了。这说明外部的结婚压力已经没有大到必须要骗婚的程度了。这说明通讯录骗婚不是被父母逼的，而是其本身有生殖的欲望，又怎么能说同通讯录骗婚是被父母逼的呢？只要代运没有合法化，通讯录为了其本身的生殖欲望而进行的骗婚就不会停止。而代运作为一种对女性的物化是具有很大的弊端的，怎么可能随便通过？且通讯录是否是正常的，其成因到底是什么都没有一个结果。又怎能随意给其养育孩子的权利？而且即使通讯录是正常的，就拿他们庞大的基数来说哪来那么多人给他们代孕？比起骗婚问题代孕问题更加重要。想通过代孕来解决骗婚不过是从一个小问题变成了一个大问题。与其通过妥协来解决骗婚问题倒不如解决通讯录本身，通过限制通讯录宣传，加强对通讯录的监督，自然能够解决骗婚问题。而不是本末倒置的去允许其获得更大的社会权益，进而增加更多的社会矛盾。,1
H044,tieba,你眼瞎啊，是没摆放标志罚款,1
H121,xhs,原来交大运的运是好孕的孕啊[超喜欢R],0
H179,xhs,作为许昌的胖东来，现在成了中国人的胖东来。我们许昌人都进不去，全中国多少人拿着放大镜来挑刺一个我们本土的超市，她也来凑热闹，抹黑，太气人了,0
H017,tieba,国内女性想要反抗男权压迫最好的方法就是做子宫摘除手术。这种手术能帮你鉴别你的男朋友是爱你还是拿你当生育工具。祝中国女性早日摆脱男权压迫。我现在就希望中国女性放过中国男性，不要变喝血边骂了。你们直接做子宫摘除手术，不就可以远离男权的生育机器化吗？,1
H256,zhihu,跟那种人你说不明白的，抱抱你,0
H276,zhihu,俺也一样??,0
H361,wb,天龙八部的时候我一直get不到这种颜 还是觉得林志颖更好看 和刘亦菲也更配,0
H131,xhs,P成车座子狗了就是那个灵缇拟人化了哈哈,1
H170,xhs,ai作画，ai小说，ai短剧就是盗窃，抄袭的东西，以为东拼西凑不会被告，但是早晚会被反噬,0
H186,xhs,AI偷脸不行，车企偷工减料更不行，买车得看真材实料。,0
H036,tieba,男权吧老哥们还是比较理智哦，这要是男的发女权吧，可能已经让骂死了,0
H252,zhihu,这么优秀的黑人找个这么丑陋的国女 不信 感觉严重造谣,1
H235,zhihu,只能说国女被宠坏了,1
H129,xhs,他就是一米六左右，他说了他的短期目标是长到170，医学奇迹,1
H317,wb,bro又下半身代替大脑思考，小脑顶替大脑了,1
H025,tieba,看来同性恋只知道污蔑他人了,1
H010,tieba,答案是殴打，是殴打！,1
H275,zhihu,台湾这两年人均gdp暴增。。。。,0
H167,xhs,这就开始攻击人长相了？,0
H024,tieba,看到你这帖子，确定你就是***媚嘿奴隶了,1
H241,zhihu,我相信答主代表了大部分人的想法，就是反感还不让说了？天天要求别人认同你的病态本身就是一种病态，你先去问问你父母接不接受再来回答,1
H055,tieba,杀了人还嬉皮笑脸，可见这人心里极其残忍。,0
H142,xhs,是在cos哈利波特里的多比吗好像啊,1
H323,wb,退粉丝相应的门票费啊 她什么损失都没有 脸皮厚就硬赚一波 粉丝好的安慰她别哭呢 哈哈哈 笑死,1
H030,tieba,满口空话从来不拿出证据。除了意淫就是意淫,1
H393,wb,以前还觉得他挺好的，必竟当初拒绝刘亦菲,0
H174,xhs,就这个口气吗？这个表情吗？我真的接受无能，不是好不好看，是这个要吵架的口气,0
H399,wb,哈哈哈～太形象了,0
H156,xhs,建议禁ai，现在ai好恐怖，长相和声音都ai,0
H328,wb,哈哈哈，原来他粉丝养出来蛊啊，难怪这么疯,1
H274,zhihu,我觉得南京环境方面是不行，我在南京念书，家在常州这边，灰挺多的,0
H327,wb,有点像乡村里的跳大神，哈哈哈,1
H041,tieba,你们同性恋不包容反同可以拉黑对方龟缩在家里不见人见光就可以了，你们同性恋不需要来这个吧，有拉黑功能可以让你们逃避现实活在自己的世界里。同性恋太丢脸太恶心了一定要拉黑回避正常人。反同是正常的逃不逃避拉不拉黑你们也是正常的但你们同性恋是不正常的不能见人见光所以需要拉黑我们反同才能逃避现实活在自己的世界里。,1
H242,zhihu,不要太想当然了，各大平台炫耀黑人伴侣的，99以上是女的，80以上赖在娘家。,1
H152,xhs,老早之前就在抵制了，压根没用，全是侵权，国内是真的不尊重版权艺术设计绘画都融烂了。一堆人还洗,0
H075,tieba,猪猪挺可爱的,0
H078,tieba,吧主是重庆的啊，你们那儿也算是重灾区了吧,1
H214,zhihu,当然是特例，一般偷偷摸摸最多自己组小圈子玩，大部分普通女孩生怕被误会都不敢跟这些以前的小姐妹来往。。。敢跟嘿贵一起的肯定都是为爱不顾一切的，这个跟学历无关。反而家庭条件差的会更多看中物质，流水线女工不会欣赏他的甜言蜜语，她们对能不能开车接送会更有兴趣。就是少才稀奇，竟然有为抢嘿贵在学校门口打起来的。,1
H398,wb,辛巴他妈也卖过同款,0
H344,wb,别跟他讲道理，脑子瓦特了，你给他讲东，他非得朝西，纯纯搞你心态，就这么恶心人吗单依纯的粉丝，为了维护自己主子，开始了，果然有其主必有其仆,1
H001,tieba,**什么都要男的干女的活着干什么,0
H151,xhs,ai生成就是小偷,0
H134,xhs,瓜子脸啊，瓜子挺好吃的,0
H271,zhihu,我是韩国人，请问这是真的吗??我很震惊,0
H005,tieba,别，黑的血肉我想想都恶心,1
H363,wb,滤镜破碎。。。。看天龙八部可喜欢他了觉得好帅。。。,0
H069,tieba,植物也会开花结果，你们同性恋的爱有什么结果？结果是艾滋。同性恋有什么爱情结晶？爱情结晶是hiv药。同性恋同婚有什么意义？意义就是互相传播艾滋上天堂,1
H318,wb,合着没解约又好上了呀没问题的时候，妹妹是大女主是总策划是独立了，有问题的时候，都是公司的问题，是白木的问题，妹妹什么都不知道搞半天原来都是挂名，都是人设,0
H071,tieba,呼叫腕豪！,0
H365,wb,哈哈哈原唱是李健嘛？,0
H057,tieba,什么女用洗衣机，这就把我的臭袜子塞进去,0
H263,zhihu,反向操作去喜欢中国的地方留学不就行了,0
H056,tieba,山东的名声彻底被这些高校领导给搞臭了，而且至今仍不知悔改，可悲,0
H218,zhihu,话说回来你又能拿同性恋怎么样呢？？有本事使劲弄s他们啊。几千万个，慢慢来。反正对于你这种以强凌弱的，也就这些本事这种心胸了。,1
H150,xhs,ai真恶心,1
H038,tieba,男人是被社会上层打压的奴隶，而女人只是奴隶的仆人，这就很有意思了，男人总是抱怨社会的制度，女人总是抱怨男人占有了她的权利。现在所谓的新时代女性，不过是想从奴隶的仆人位置中跳脱出来，想和男人一起做奴隶。等到新时代女人完全有了和男人差不多的权利，女人也会和男人一样抱怨社会制度。毕竟阶级上层控制着奴隶，制定规则和掌握着奴隶们的资料，下层的奴隶只能遵守规则活活被剥削，上层贵族在享受生活，下层奴隶在受苦受难。,0
H197,xhs,抵制明星带货,0
H159,xhs,哈哈哈哈怎么骂人还ln不分,1
H067,tieba,我就是女的，我讨厌杨笠,0
H340,wb,不是我地域攻击，但是某个区域的人，真的是大多数都是垃圾，他们做的事实在是让人不齿,1
H228,zhihu,浙江。。。八山一水一分田 改开前穷的排队去江西要饭的历史是忘了。1978年杭州GDP不如唐山。不知道哪来的什么自古富裕。就算现在，也就是一堆破厂子而已 有点小土豪 没什么文化，受教育程度全国倒数。直辖市谁看得上他们啊HH,1
H254,zhihu,没强求接受，但至少不要歧视,0
H386,wb,要2000还是要500哈哈哈哈哈,0
H157,xhs,17.喜欢我不是很正常吗 我丑陋又恶毒 又很会搞抽象 又不正经又没爱心 又没丝毫上进心 试问 谁能抵挡住我的魅力啊,0
H245,zhihu,韩国是正面刚 给母狗刚到废,1
H217,zhihu,讲个笑话，这边有人讨外地媳妇，四川的都没人说什么，安徽的背地里要被冷嘲热讽死,1
H051,tieba,破坏中非友谊，把你抓起来,0
H335,wb,你们女权主义也很离谱的一件事，喜欢攻击别人的妈妈，好像一个女性只要生育，只要生育一个被批判的人，那这个女性就有罪，说实话，你们眼里到底什么是女性，就跟白种人眼里白人才算人一样，你们眼里的女性只有高收入高智商刷小红书才是女性是吗??,0
H264,zhihu,哎不对啊，明明是你总刷到这类，要喜欢也是你喜欢吧。我都没刷到过这类内容我何来喜欢之说?,0
H095,tieba,喜欢我香香酱嘛,0
H272,zhihu,??这是客观的态度,0
H362,wb,纯妹妹，哈哈哈。,0
H008,tieba,吃饭也是人的弱点，要不咱饭也别吃了？,0
H086,tieba,你要的证据来咯。毕竟我们不会乱造谣别人,0
H060,tieba,事实就是这样，很多女人天天被家暴，被揍得鼻青脸肿什么似的，到处抱怨自己的不幸，但就是不离婚，反过来被男的捧在手心娇着惯着的每天就各种不满说男的不好动不动闹离婚还对男的上演家庭暴力。这就是?,1
H320,wb,难不成她就是李健眼中的清纯小女生？李健老花了……,1
H258,zhihu,给中国女孩按eg的是那些外国人????怎么又是我们背锅了????太牛了,0
H188,xhs,支持维权！！必须抵制这种AI乱象！！,0
H040,tieba,你好像一个清朝老僵尸，在这挖坟抛尸，别恶心大伙了,1
H019,tieba,赚流量而已,0
H284,zhihu,前面还很同情你 看到高考加分我绷不住了??,0
H117,xhs,我觉得你适合去重庆某个神秘地方，那里有你的同类,1
H133,xhs,可以，以后专门演青铜器拟人,1
H388,wb,尼的??跟名字绝配配～,1
H370,wb,甜甜哒小雯姑娘,0
H182,xhs,这社会，太扯了,0
H097,tieba,我男的，我去女权吧发过言，评论被秒删并被禁言，我想知道男权吧为什么不这样做,0
H043,tieba,你踏嘛的是不是觉得你的白叠就应该理所当然的在那,1
H224,zhihu,不跟他们接触就是最好的，都烦他们不是没有原因。,1
H216,zhihu,没么的癨还给人解答呢，也配？回坑里和猪96去吧????,1
H021,tieba,很讨厌他们学校,0
H108,xhs,bro脸部已经成为胶头滴管了，可以转战篮球区了,1
H306,wb,这个人说不过我就开始捂嘴哈哈哈哈哈某贷款天后粉丝画像极其精准,1
H203,zhihu,用粤语屌他啊 小北那边也很多黑人 我经常用粤语屌他们,1
H255,zhihu,我说了不是钓鱼！,0
H315,wb,好一波热搜啊明眼人一看就懂呵呵,0
H300,wb,票价还包含了高铁列车更换成本，小仙女下次坐车时，可以把车厢砸了,1
H289,zhihu,带上我，老铁,0
H382,wb,bro看来是很爱红爷了,0
H331,wb,听说话得70了吧，老头了还不消停，可真恶心,1
H147,xhs,可以，演et不用化妆的程度[嘻嘻R],1
H222,zhihu,之前在哪听过一嘴，说杂交的不如纯种的好，还会弄出很多奇怪的病，智商还会迭代变低，这是真的吗？？,1
H076,tieba,感谢的太早了吧！多希望莆田的欧某死之前知道人间是有温度的。,0
H012,tieba,饭桶皆深柜，不敢直面自己的内心,1
H385,wb,哈哈哈哈哈 就是的 你的评论我喜欢你的私信记得关,0
H369,wb,哈哈，同名同姓,0
H348,wb,那有点恶心了 凭啥小羊高人一等 赔不起就不赔了啊,0
H116,xhs,三妹哦 外星人哦,0
H375,wb,四面台顶级舞美音响 还是这么厉害的歌手 超级值呀 还有低价票档完全全覆盖,0
H381,wb,1580郑州原价票，就在你评论底下啊,0
H006,tieba,别故意挑起吧友仇恨对抗，你嫁黑人就算了，别怂恿别的女孩和黑人谈恋爱,0
H250,zhihu,"“男人可以媚黑女人不行的问题，那你怎么说服她们,她们看了不管心里怎么想黑人肯定跟你刚,你可以换位思考下”我就是你说的这种心态，我讨厌双标男胜于讨厌黑人，毕竟黑人这种生物不接触就可以避免了，但这种双标男知乎到处都是，不停的给人洗脑男女有别",1
H353,wb,有好多营销号水军带节奏，估计是得罪人了，趁这个机会把事情搞大。版权问题很正常，赔偿就好了，全网网暴也是太恐怖了。,0
H380,wb,那很肥美了朋友,1
H303,wb,李荣浩自己发文承认的呀，原来初二学生的发文连自己的粉丝都不愿意看，哈哈哈哈哈,1
H070,tieba,抓虫大战，人人有责,0
H130,xhs,吃香的，真人版外星人??,1
H154,xhs,真服了想要数据就自己弄，凭什么盗用别人的？这群小偷。你就看你发哪个平台了，哪个平台发的，哪个平台打包卖的。不可能随随便便的把你的东西投进去，你肯定是哪个平台卖的，,0
H007,tieba,不是说在意的只是态度吗？这态度不是有了吗？为啥还被骂？,0
H292,zhihu,_x005f_xDD14__x005f_xD83E_为什么我这里显示12个评论，点开却就5个？？,0
H286,zhihu,广西风景棒??,0
H243,zhihu,男性骑洋马：她熊大，她腿长，她屁股翘，她长得漂亮女性挨洋(黑)枪：他是布尔人??,1
H184,xhs,别给我推她们了 当现在“观众”那么好骗呢,0
H205,zhihu,估计已经成了非洲某部落的第36号王妃,1
H316,wb,纯妹妹的水军发力了,0
H089,tieba,哈哈，好可怜,0
H307,wb,这句我爆笑真的哈哈哈哈哈哈哈难怪是初中就辍学的人实在太中二了，正好他是初二就不上了吧哈哈哈哈哈哈哈哈小说看多了，是不是要叫他一声师尊，荣浩上仙才行啊？逗死我了哈哈哈哈哈哈哈,1
H238,zhihu,你可能看不到黑人对你女友玩得有多花,1
H261,zhihu,最后两个的顺序可以斟酌的。,0
H137,xhs,我的妈呀，女版华晨宇,0
H374,wb,算了吧 华晨宇至少是真有天赋 自己写歌 早期歌真的挺好听 再怎么也属于她前辈 她还配不上相提并论吧,0
H132,xhs,哈哈哈哈宝你好可爱！我去陕西旅游过，山美水美人好美食多！是还想再去的地方～ 对了，田小草就别去了，就在家呆着吧，她去哪都不配。,1
H183,xhs,富的流油了，还哭穷！ 穷人太苦了，富人太……,0
H309,wb,这精神状态绝对跟华晨宇是天生一对，月老都拆不上他们,0
H266,zhihu,我接触的河南老哥虽然有时候拎不清，但是实在是真实在，不好吹牛真是非常优良的品质,0
H395,wb,这个数据可以看到吗？如果能看到，就应该知道到底卖的多不多了吧，这还是上海，消费力比较高的地方,0
H077,tieba,这样的假设，现实中并不存在或极端罕见,0
H232,zhihu,哈哈哈 你是揣着明白装糊涂吗 有不少媚黑女嘲笑国男几把小呢,1
H176,xhs,吐槽某件事被骂专业黑怎么办,0
H194,xhs,AI太恐怖了,0
H162,xhs,支持维权，抵制ai！,0
H126,xhs,可以的，折叠度无敌，就是五官中的嘴巴需要缩小，鼻子需要扩宽，好奇你们星球是用耳朵后面的鳃呼吸吗,1
H312,wb,笑死我了，评论区粉丝说，全是原唱，就是没原创哈哈哈哈哈哈哈哈哈哈哈哈哈哈,0
H304,wb,你觉得你有我富吗 笑死我辣哈哈哈哈哈哈哈这么低脂的发言居然2026还能听到,1
H039,tieba,男生的钱也是钱，男生的钱男生自己花！抵制舔狗，拒绝上贡！经济自主！,1
H148,xhs,外星人走艺考很有特色的,0
H149,xhs,这个长相外星艺考应该挺吃香的,1
H383,wb,哈哈哈哈哈闻闻你的张 bro 吧，凉透透了呜呜呜,1
H210,zhihu,这是一个光荣的事情，请大胆的向你的家人，同学，朋友告知，并且通过微信、微博、抖音宣传，让他们都知道你有个黑色的玩伴！,1
H046,tieba,您如此高傲的挑衅全体人民的行为可真是让人始料未及呢,1
H104,xhs,早点发好了，斯皮尔伯格看到你不用做特效了,1
H278,zhihu,任何话都有一定道理的??????,0
H023,tieba,既然有人搭台，你为何不上去唱戏？借假人夺真利，不是美事一桩？,0
H085,tieba,呃呃什么大代表?,0
H093,tieba,反变态吧吧名简洁明了，一看就懂,1
H049,tieba,女人因为生理因素比男人劣等，什么时候她们才能接受这一点看看残酷的现实吧,1
H333,wb,你这种就是正宗垃圾瘪三,1
H136,xhs,挺帅的，兄弟你参加哪个星球的艺考啊,1
H364,wb,塑料纸垫一下哈哈 哈哈哈 哈哈哈哈 哈哈哈哈哈 你给了我这一天的笑点,0
H058,tieba,生下来做个鉴定就好了，不怕一万，就怕万一。怕的就是乌龙做了坏人,0
H022,tieba,记得看过一本隐喻黑人的悬疑小说，揭示了黑人的丑恶嘴脸，主角好像叫肖万来着，还是肖旺,1
H052,tieba,让她生下来，在分，不要说残忍，女人背着你跟别人的时候从不想这些。,1
H113,xhs,华晨宇最起码有原创的几首歌蛮好听的哈哈哈，这个是啥啊，她自己原创的歌至今没有破圈过,0
H200,zhihu,那些小仙女最喜欢非洲酋长的公子哥们了，还喜欢主动献身倒贴??,1
H141,xhs,英子感觉也很奇怪[完啦R]，就是感觉她想擦边但是她脸和身材让人没法相信在擦边,1
H081,tieba,当时那个清华腚后面看监控也反转了，所以别去信小作文,0
H268,zhihu,河南是中原，华夏之源，我觉得挺好一地方，郑州洪水里人也很热情善良，为什么被黑啊??,0
H161,xhs,抵制ai,0
H002,tieba,“不仇女未必能让女拳消失，但是仇女一定不能让女拳消失，甚至会反向壮大女拳”中华大地压迫了女性几千年，也没有出现过女拳这种物种，可见女拳也不是仇女壮大出来的，而是平权放任出来的,1
H234,zhihu,就是尼玛的瞎好，一群gay不挑人,1
H283,zhihu,来自东北的西安慢摇??????,0
H223,zhihu,要是这些人不再祸害别人，那我倒是觉得挺好的，基因选择嘛，聪明人活下来，傻得慢慢就消失了,1
H226,zhihu,现在大多数中国女性是整个国家的负担,1
H163,xhs,狠狠告他收他钱，说实话希望有专业团队专门干这个，敲诈我都支持，不然免费的东西人家使劲白嫖，以毒攻毒才能让他们知难而退,0
H277,zhihu,原来大国气度是接盘??,1
H308,wb,不愧是粉丝自封的新生代天后啊，演唱会门票价格快赶上陈奕迅了。这么厉害的歌手，一定有很多脍炙人口的歌吧,0
H354,wb,本来就是，她又不是靠给人写歌出来的的！李本来之前就是写歌的！后面才慢慢开始唱，再到后面上歌手火的！那英，蔡依林，张惠妹她们的歌你能说出几首她们自己写的！真的对年轻女歌手太mean了！这是恶心的饭圈,0
H212,zhihu,祝你成为人尽皆知的接盘侠,1
H325,wb,那慕容复属于本色出演了,1
H177,xhs,支持维权，我们的“科技进步党”在偷人心血几年后终于开始真正的啖食血肉了。以后搞诈骗的算享福了，ai偷人脸拿去骗就行，等视频生成速度加快，我们的人脸识别也有法子破解了未来都不用做保健品了,0
H305,wb,所以你就是奇葩的小仙女一类,1
H034,tieba,幕刃应该把他自己和女性割裂开,1
H173,xhs,坚决抵制这种人,0
